image,label
ecg_test_0001.png,easy
ecg_test_0002.png,easy
ecg_test_0003.png,easy
ecg_test_0004.png,easy
ecg_test_0005.png,hard
ecg_test_0006.png,medium
ecg_test_0007.png,easy
ecg_test_0008.png,easy
ecg_test_0009.png,hard
ecg_test_0010.png,easy
ecg_test_0011.png,medium
ecg_test_0012.png,hard
ecg_test_0013.png,easy
ecg_test_0014.png,easy
ecg_test_0015.png,easy
ecg_test_0016.png,medium
ecg_test_0017.png,medium
ecg_test_0018.png,medium
ecg_test_0019.png,easy
ecg_test_0020.png,medium
ecg_test_0021.png,medium
ecg_test_0022.png,hard
ecg_test_0023.png,medium
ecg_test_0024.png,medium
ecg_test_0025.png,easy
ecg_test_0026.png,easy
ecg_test_0027.png,medium
ecg_test_0028.png,medium
ecg_test_0029.png,easy
ecg_test_0030.png,easy
ecg_test_0031.png,easy
ecg_test_0032.png,easy
ecg_test_0033.png,hard
ecg_test_0034.png,medium
ecg_test_0035.png,medium
ecg_test_0036.png,easy
ecg_test_0037.png,easy
ecg_test_0038.png,easy
ecg_test_0039.png,medium
ecg_test_0040.png,easy
ecg_test_0041.png,medium
ecg_test_0042.png,medium
ecg_test_0043.png,hard
ecg_test_0044.png,easy
ecg_test_0045.png,easy
ecg_test_0046.png,easy
ecg_test_0047.png,medium
ecg_test_0048.png,easy
ecg_test_0049.png,hard
ecg_test_0050.png,easy
ecg_test_0051.png,hard
ecg_test_0052.png,easy
ecg_test_0053.png,medium
ecg_test_0054.png,medium
ecg_test_0055.png,easy
ecg_test_0056.png,easy
ecg_test_0057.png,medium
ecg_test_0058.png,easy
ecg_test_0059.png,medium
ecg_test_0060.png,medium
ecg_test_0061.png,medium
ecg_test_0062.png,easy
ecg_test_0063.png,easy
ecg_test_0064.png,easy
ecg_test_0065.png,medium
ecg_test_0066.png,medium
ecg_test_0067.png,easy
ecg_test_0068.png,medium
ecg_test_0069.png,hard
ecg_test_0070.png,hard
ecg_test_0071.png,hard
ecg_test_0072.png,easy
ecg_test_0073.png,easy
ecg_test_0074.png,easy
ecg_test_0075.png,easy
ecg_test_0076.png,easy
ecg_test_0077.png,easy
ecg_test_0078.png,easy
ecg_test_0079.png,medium
ecg_test_0080.png,medium
ecg_test_0081.png,hard
ecg_test_0082.png,medium
ecg_test_0083.png,medium
ecg_test_0084.png,easy
ecg_test_0085.png,easy
ecg_test_0086.png,medium
ecg_test_0087.png,easy
ecg_test_0088.png,easy
ecg_test_0089.png,hard
ecg_test_0090.png,hard
ecg_test_0091.png,easy
ecg_test_0092.png,medium
ecg_test_0093.png,hard
ecg_test_0094.png,hard
ecg_test_0095.png,medium
ecg_test_0096.png,easy
ecg_test_0097.png,easy
ecg_test_0098.png,medium
ecg_test_0099.png,medium
ecg_test_0100.png,easy
ecg_test_0101.png,medium
ecg_test_0102.png,easy
ecg_test_0103.png,easy
ecg_test_0104.png,medium
ecg_test_0105.png,easy
ecg_test_0106.png,easy
ecg_test_0107.png,easy
ecg_test_0108.png,hard
ecg_test_0109.png,medium
ecg_test_0110.png,hard
ecg_test_0111.png,medium
ecg_test_0112.png,hard
ecg_test_0113.png,easy
ecg_test_0114.png,easy
ecg_test_0115.png,medium
ecg_test_0116.png,medium
ecg_test_0117.png,medium
ecg_test_0118.png,hard
ecg_test_0119.png,easy
ecg_test_0120.png,medium
ecg_test_0121.png,easy
ecg_test_0122.png,hard
ecg_test_0123.png,medium
ecg_test_0124.png,medium
ecg_test_0125.png,medium
ecg_test_0126.png,easy
ecg_test_0127.png,medium
ecg_test_0128.png,easy
ecg_test_0129.png,medium
ecg_test_0130.png,hard
ecg_test_0131.png,easy
ecg_test_0132.png,easy
ecg_test_0133.png,easy
ecg_test_0134.png,easy
ecg_test_0135.png,easy
